Date,Close,Date,Volume
2020-06-01,3054.0,2020-06-01,1277803
2020-06-02,3077.0,2020-06-02,1458830
2020-06-03,3117.75,2020-06-03,1623708
2020-06-04,3110.5,2020-06-04,1830904
2020-06-05,3186.75,2020-06-05,2444330
2020-06-08,3227.5,2020-06-08,1602601
2020-06-09,3205.5,2020-06-09,1695764
2020-06-10,3186.0,2020-06-10,1996065
2020-06-11,3010.25,2020-06-11,3528726
2020-06-12,3034.75,2020-06-12,2872339
2020-06-15,3073.0,2020-06-15,1947459
2020-06-16,3128.75,2020-06-16,1377224
2020-06-17,3118.0,2020-06-17,610877
2020-06-18,3109.0,2020-06-18,373718
2020-06-19,3161.260009765625,2020-06-19,1952273
2020-06-22,3110.75,2020-06-22,1392325
2020-06-23,3118.5,2020-06-23,1528485
2020-06-24,3049.0,2020-06-24,2387916
2020-06-25,3070.75,2020-06-25,1967245
2020-06-26,3007.0,2020-06-26,2208418
2020-06-29,3047.75,2020-06-29,1585146
2020-06-30,3090.25,2020-06-30,1724164
2020-07-01,3103.0,2020-07-01,1537321
2020-07-02,3129.0,2020-07-02,1552517
2020-07-06,3172.0,2020-07-06,1459512
2020-07-07,3136.5,2020-07-07,1333466
2020-07-08,3163.5,2020-07-08,1527612
2020-07-09,3141.0,2020-07-09,1881833
2020-07-10,3178.5,2020-07-10,1408591
2020-07-13,3148.25,2020-07-13,2074726
2020-07-14,3183.5,2020-07-14,2256766
2020-07-15,3219.5,2020-07-15,1937696
2020-07-16,3194.5,2020-07-16,1471311
2020-07-17,3214.0,2020-07-17,1261113
2020-07-20,3245.25,2020-07-20,1401168
2020-07-21,3251.25,2020-07-21,1463931
2020-07-22,3265.5,2020-07-22,1354244
2020-07-23,3227.5,2020-07-23,1704453
2020-07-24,3204.0,2020-07-24,1761346
2020-07-27,3232.25,2020-07-27,1299512
2020-07-28,3213.0,2020-07-28,1375293
2020-07-29,3252.5,2020-07-29,1218031
2020-07-30,3248.75,2020-07-30,2000721
2020-07-31,3263.5,2020-07-31,2282794
2020-08-03,3288.5,2020-08-03,1250449
2020-08-04,3300.0,2020-08-04,1145269
2020-08-05,3316.0,2020-08-05,1116787
2020-08-06,3344.25,2020-08-06,1346665
2020-08-07,3344.75,2020-08-07,1615367
2020-08-10,3352.75,2020-08-10,1201751
2020-08-11,3330.0,2020-08-11,1733040
2020-08-12,3370.0,2020-08-12,1408718
2020-08-13,3367.75,2020-08-13,1205758
2020-08-14,3361.5,2020-08-14,1084771
2020-08-17,3379.75,2020-08-17,759304
2020-08-18,3387.0,2020-08-18,1019552
2020-08-19,3372.75,2020-08-19,1368420
2020-08-20,3380.75,2020-08-20,1203334
2020-08-21,3392.5,2020-08-21,1221450
2020-08-24,3427.5,2020-08-24,1282950
2020-08-25,3443.0,2020-08-25,1133837
2020-08-26,3480.25,2020-08-26,1277539
2020-08-27,3485.25,2020-08-27,1633581
2020-08-28,3504.5,2020-08-28,1248430
2020-08-31,3499.0,2020-08-31,1439600
2020-09-01,3527.0,2020-09-01,1283622
2020-09-02,3579.25,2020-09-02,1853078
2020-09-03,3461.5,2020-09-03,2872337
2020-09-04,3417.5,2020-09-04,2994363
2020-09-08,3335.5,2020-09-08,2732946
2020-09-09,3400.25,2020-09-09,2011132
2020-09-10,3340.5,2020-09-10,2332667
2020-09-11,3333.75,2020-09-11,1876451
2020-09-14,3382.5,2020-09-14,1378626
2020-09-15,3405.25,2020-09-15,874366
2020-09-16,3389.5,2020-09-16,571749
2020-09-17,3361.5,2020-09-17,384917
2020-09-18,3353.60009765625,2020-09-18,2365554
2020-09-21,3275.0,2020-09-21,2507980
2020-09-22,3299.25,2020-09-22,1576319
2020-09-23,3231.25,2020-09-23,1979661
2020-09-24,3238.0,2020-09-24,2277010
2020-09-25,3287.25,2020-09-25,1697090
2020-09-28,3346.0,2020-09-28,1495804
2020-09-29,3333.75,2020-09-29,1326597
2020-09-30,3352.0,2020-09-30,2170601
2020-10-01,3367.75,2020-10-01,1517912
2020-10-02,3339.25,2020-10-02,2028921
2020-10-05,3393.0,2020-10-05,1077474
2020-10-06,3353.25,2020-10-06,1701062
2020-10-07,3406.75,2020-10-07,1400616
2020-10-08,3437.5,2020-10-08,1104986
2020-10-09,3473.25,2020-10-09,1185272
2020-10-12,3532.75,2020-10-12,1401063
2020-10-13,3504.75,2020-10-13,1617226
2020-10-14,3481.0,2020-10-14,1539718
2020-10-15,3475.5,2020-10-15,1650150
