Date,Close,Date,Volume
2023-06-01,4228.0,2023-06-01,1868363
2023-06-02,4288.0,2023-06-02,1955603
2023-06-05,4281.0,2023-06-05,1668759
2023-06-06,4289.75,2023-06-06,1548125
2023-06-07,4274.25,2023-06-07,1925195
2023-06-08,4298.25,2023-06-08,1664333
2023-06-09,4304.75,2023-06-09,2176645
2023-06-12,4342.75,2023-06-12,1665175
2023-06-13,4371.75,2023-06-13,1317118
2023-06-14,4374.25,2023-06-14,758316
2023-06-15,4426.5,2023-06-15,486414
2023-06-16,4453.35009765625,2023-06-16,1895105
2023-06-20,4434.75,2023-06-20,1540416
2023-06-21,4409.25,2023-06-21,1468258
2023-06-22,4423.75,2023-06-22,1384002
2023-06-23,4389.0,2023-06-23,1550992
2023-06-26,4370.25,2023-06-26,1622416
2023-06-27,4418.75,2023-06-27,1512256
2023-06-28,4417.5,2023-06-28,1689461
2023-06-29,4435.75,2023-06-29,1628750
2023-06-30,4488.25,2023-06-30,1774940
2023-07-03,4492.25,2023-07-03,641289
2023-07-05,4483.75,2023-07-05,1193759
2023-07-06,4447.0,2023-07-06,1741520
2023-07-07,4434.0,2023-07-07,1691644
2023-07-10,4444.25,2023-07-10,1361155
2023-07-11,4473.5,2023-07-11,1340232
2023-07-12,4507.5,2023-07-12,1784296
2023-07-13,4543.5,2023-07-13,1158193
2023-07-14,4536.75,2023-07-14,1381069
2023-07-17,4553.75,2023-07-17,1057965
2023-07-18,4587.75,2023-07-18,1301460
2023-07-19,4597.0,2023-07-19,1538747
2023-07-20,4565.5,2023-07-20,1527727
2023-07-21,4564.75,2023-07-21,1432643
2023-07-24,4583.5,2023-07-24,1203661
2023-07-25,4596.0,2023-07-25,1219737
2023-07-26,4595.25,2023-07-26,1372426
2023-07-27,4564.25,2023-07-27,1924565
2023-07-28,4606.5,2023-07-28,1573973
2023-07-31,4614.5,2023-07-31,1299434
2023-08-01,4601.25,2023-08-01,1212261
2023-08-02,4537.25,2023-08-02,1917865
